STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730111,-9999, , , ,9999,310, , ,S,9999,250, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730114,-9999, , , ,9999,-9999, , , ,9999,220, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730123,-9999, , , ,9999,310, , ,S,9999,230, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730206,-9999, , , ,9999,310, , ,S,9999,-9999, , , ,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730208,-9999, , , ,9999,310, , ,S,9999,-9999, , , ,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730209,-9999, , , ,9999,310, , ,S,9999,-9999, , , ,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730210,-9999, , , ,9999,-9999, , , ,9999,230, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730212,-9999, , , ,9999,310, , ,S,9999,230, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730219,-9999, , , ,9999,320, , ,S,9999,-9999, , , ,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730225,-9999, , , ,9999,-9999, , , ,9999,240, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730227,-9999, , , ,9999,310, , ,S,9999,250, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730302,-9999, , , ,9999,310, , ,S,9999,220, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730303,-9999, , , ,9999,320, , ,S,9999,230, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730308,-9999, , , ,9999,320, , ,S,9999,220, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730309,-9999, , , ,9999,320, , ,S,9999,250, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730312,-9999, , , ,9999,320, , ,S,9999,250, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730322,-9999, , , ,9999,320, , ,S,9999,230, , ,S,9999
GHCND:KEM00063799,MALINDI KE,25,-3.229,40.102,19730324,-9999, , , ,9999,330, , ,S,9999,-9999, , , ,9999
