STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19600229,-9999, , , ,9999,383, , ,I,9999,256, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19730306,-9999, , , ,9999,-9999, , , ,9999,230, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19730308,-9999, , , ,9999,-9999, , , ,9999,300, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19730814,5, , ,I,9999,-9999, , , ,9999,240, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19730815,0, , ,I,9999,-9999, , , ,9999,230, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19730913,0, , ,I,9999,-9999, , , ,9999,250, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19730925,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19740325,71, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19740713,221, , ,I,9999,-9999, , , ,9999,230, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19740717,0, , ,I,9999,-9999, , , ,9999,230, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19740723,-9999, , , ,9999,330, , ,I,9999,-9999, , , ,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19740729,0, , ,I,9999,330, , ,I,9999,230, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19740730,0, , ,I,9999,-9999, , , ,9999,230, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19740731,-9999, , , ,9999,300, , ,I,9999,-9999, , , ,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19740802,170, , ,I,9999,240, ,O,I,9999,200, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19740906,0, , ,I,9999,-9999, , , ,9999,230, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19740915,0, , ,I,9999,-9999, , , ,9999,240, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19740921,0, , ,I,9999,330, , ,I,9999,-9999, , , ,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19741224,0, , ,I,9999,-9999, , , ,9999,220, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750212,-9999, , , ,9999,360, , ,I,9999,260, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750219,-9999, , , ,9999,350, , ,I,9999,230, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750223,-9999, , , ,9999,370, , ,I,9999,250, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750325,-9999, , , ,9999,360, , ,I,9999,230, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750408,-9999, , , ,9999,370, , ,I,9999,-9999, , , ,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750409,-9999, , , ,9999,380, , ,I,9999,-9999, , , ,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750410,-9999, , , ,9999,380, , ,I,9999,280, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750412,-9999, , , ,9999,380, , ,I,9999,290, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750414,-9999, , , ,9999,-9999, , , ,9999,260, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750416,-9999, , , ,9999,340, , ,I,9999,250, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750420,-9999, , , ,9999,-9999, , , ,9999,250, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750504,-9999, , , ,9999,-9999, , , ,9999,260, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750512,-9999, , , ,9999,-9999, , , ,9999,260, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750518,-9999, , , ,9999,-9999, , , ,9999,180, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750524,-9999, , , ,9999,-9999, , , ,9999,220, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750529,-9999, , , ,9999,330, , ,I,9999,240, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750619,-9999, , , ,9999,330, , ,I,9999,230, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750620,-9999, , , ,9999,-9999, , , ,9999,220, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750712,-9999, , , ,9999,-9999, , , ,9999,230, , ,I,9999
GHCND:KE000063612,LODWAR KE,515,3.117,35.617,19750713,-9999, , , ,9999,-9999, , , ,9999,240, , ,I,9999
