STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730102,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,70, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730130,-9999, , , ,9999,-9999, , , ,9999,260, , ,S,9999,60, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730210,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,110, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730213,-9999, , , ,9999,-9999, , , ,9999,250, , ,S,9999,120, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730219,-9999, , , ,9999,-9999, , , ,9999,260, , ,S,9999,120, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730222,-9999, , , ,9999,-9999, , , ,9999,240, , ,S,9999,130, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730223,-9999, , , ,9999,-9999, , , ,9999,250, , ,S,9999,110, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730226,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,90, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730227,-9999, , , ,9999,-9999, , , ,9999,260, , ,S,9999,110, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730317,-9999, , , ,9999,-9999, , , ,9999,280, , ,S,9999,80, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730322,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,90, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730326,-9999, , , ,9999,-9999, , , ,9999,270, , ,S,9999,140, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730406,-9999, , , ,9999,-9999, , , ,9999,270, , ,S,9999,110, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730509,-9999, , , ,9999,-9999, , , ,9999,230, , ,S,9999,140, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730515,-9999, , , ,9999,-9999, , , ,9999,250, , ,S,9999,-9999, , , ,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730522,-9999, , , ,9999,-9999, , , ,9999,230, , ,S,9999,110, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730524,-9999, , , ,9999,-9999, , , ,9999,240, , ,S,9999,100, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730526,-9999, , , ,9999,-9999, , , ,9999,250, , ,S,9999,-9999, , , ,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730531,-9999, , , ,9999,-9999, , , ,9999,220, , ,S,9999,130, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730622,259, , ,S,9999,-9999, , , ,9999,220, , ,S,9999,130, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730627,-9999, , , ,9999,-9999, , , ,9999,220, , ,S,9999,-9999, , , ,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730628,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,80, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19730630,0, , ,S,9999,-9999, , , ,9999,220, , ,S,9999,80, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19740123,0, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,70, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19740212,0, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,110, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19740214,0, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,120, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19740223,0, , ,S,9999,-9999, , , ,9999,260, , ,S,9999,-9999, , , ,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19740228,0, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,90, , ,S,9999
GHCND:KEM00063686,ELDORET INTERNATIONAL KE,2115.6,0.404,35.239,19740316,0, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,130, , ,S,9999
