STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19600229,-9999, , , ,9999,-9999, , , ,9999,256, , ,I,9999,189, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730212,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,180, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730226,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,200, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730227,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,190, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730307,-9999, , , ,9999,-9999, , , ,9999,290, , ,I,9999,200, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730315,-9999, , , ,9999,-9999, , , ,9999,310, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730401,-9999, , , ,9999,-9999, , , ,9999,320, , ,I,9999,190, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730412,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,190, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730428,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,170, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730507,-9999, , , ,9999,-9999, , , ,9999,290, , ,I,9999,180, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730510,-9999, , , ,9999,-9999, , , ,9999,290, , ,I,9999,150, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730515,-9999, , , ,9999,-9999, , , ,9999,300, , ,I,9999,170, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730524,-9999, , , ,9999,-9999, , , ,9999,270, , ,I,9999,160, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730601,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,150, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730605,0, , ,I,9999,-9999, , , ,9999,270, , ,I,9999,140, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730627,-9999, , , ,9999,-9999, , , ,9999,250, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730628,-9999, , , ,9999,-9999, , , ,9999,270, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730629,0, , ,I,9999,-9999, , , ,9999,260, , ,I,9999,170, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730707,0, , ,I,9999,-9999, , , ,9999,270, , ,I,9999,120, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730714,0, , ,I,9999,-9999, , , ,9999,270, , ,I,9999,130, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730715,0, , ,I,9999,-9999, , , ,9999,260, , ,I,9999,130, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730722,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,150, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730730,-9999, , , ,9999,-9999, , , ,9999,260, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730801,0, , ,I,9999,-9999, , , ,9999,260, , ,I,9999,130, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730812,-9999, , , ,9999,-9999, , , ,9999,270, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730816,0, , ,I,9999,-9999, , , ,9999,270, , ,I,9999,130, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730817,-9999, , , ,9999,-9999, , , ,9999,260, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730822,0, , ,I,9999,-9999, , , ,9999,280, , ,I,9999,160, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730826,0, , ,I,9999,-9999, , , ,9999,270, , ,I,9999,140, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730920,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,160, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19730921,-9999, , , ,9999,-9999, , , ,9999,310, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19731207,239, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,170, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740113,0, , ,I,9999,-9999, , , ,9999,320, , ,I,9999,170, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740118,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,180, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740128,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,190, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740225,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,180, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740319,0, , ,I,9999,-9999, , , ,9999,330, , ,I,9999,190, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740326,130, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,190, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740327,450, , ,I,9999,-9999, , , ,9999,290, , ,I,9999,170, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740405,10, , ,I,9999,-9999, , , ,9999,270, , ,I,9999,170, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740501,-9999, , , ,9999,-9999, , , ,9999,250, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740515,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,160, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740519,0, , ,I,9999,-9999, , , ,9999,280, , ,I,9999,180, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740602,0, , ,I,9999,-9999, , , ,9999,280, , ,I,9999,160, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740604,0, , ,I,9999,-9999, , , ,9999,280, , ,I,9999,140, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740606,-9999, , , ,9999,-9999, , , ,9999,270, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740618,-9999, , , ,9999,-9999, , , ,9999,270, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740620,0, , ,I,9999,-9999, , , ,9999,260, , ,I,9999,120, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740628,-9999, , , ,9999,-9999, , , ,9999,260, , ,I,9999,130, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740703,3, , ,I,9999,-9999, , , ,9999,240, , ,I,9999,160, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740705,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,160, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740708,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,150, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740713,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,130, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740717,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,140, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740719,-9999, , , ,9999,-9999, , , ,9999,260, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740721,0, , ,I,9999,-9999, , , ,9999,280, , ,I,9999,150, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740722,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,150, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740723,0, , ,I,9999,-9999, , , ,9999,270, , ,I,9999,140, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740724,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,140, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740726,-9999, , , ,9999,-9999, , , ,9999,240, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740728,0, , ,I,9999,-9999, , , ,9999,260, , ,I,9999,130, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740729,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,130, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740730,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,120, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740801,0, , ,I,9999,-9999, , , ,9999,270, , ,I,9999,120, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740803,0, , ,I,9999,-9999, , , ,9999,250, , ,I,9999,120, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740808,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,140, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740809,0, , ,I,9999,-9999, , , ,9999,270, , ,I,9999,150, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740811,0, , ,I,9999,-9999, , , ,9999,280, , ,I,9999,150, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740813,0, , ,I,9999,-9999, , , ,9999,250, , ,I,9999,150, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740814,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,140, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740818,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,150, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740819,0, , ,I,9999,-9999, , , ,9999,290, , ,I,9999,130, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740821,0, , ,I,9999,-9999, , , ,9999,290, , ,I,9999,130, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740822,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,130, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740824,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,140, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740825,-9999, , , ,9999,-9999, , , ,9999,290, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740826,-9999, , , ,9999,-9999, , , ,9999,300, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740905,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,120, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740906,0, , ,I,9999,-9999, , , ,9999,290, , ,I,9999,150, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740914,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,150, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740916,-9999, , , ,9999,-9999, , , ,9999,270, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740921,0, , ,I,9999,-9999, , , ,9999,290, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740922,-9999, , , ,9999,-9999, , , ,9999,290, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19740923,0, , ,I,9999,-9999, , , ,9999,290, , ,I,9999,130, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19741001,0, , ,I,9999,-9999, , , ,9999,290, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19741020,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,160, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19741106,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,180, , ,I,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19741119,0, , ,I,9999,-9999, , , ,9999,330, , ,I,9999,-9999, , , ,9999
GHCND:TZ000063862,DODOMA TZ,1120,-6.167,35.767,19741126,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,190, , ,I,9999
