STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730627,30, , ,I,9999,-9999, , , ,9999,250, , ,I,9999,110, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730628,0, , ,I,9999,-9999, , , ,9999,230, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730703,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,110, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730705,5, , ,I,9999,-9999, , , ,9999,230, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730708,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,130, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730709,71, , ,I,9999,-9999, , , ,9999,200, , ,I,9999,130, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730712,0, , ,I,9999,-9999, , , ,9999,210, , ,I,9999,130, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730724,0, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,110, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730726,-9999, , , ,9999,-9999, , , ,9999,260, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730730,-9999, , , ,9999,-9999, , , ,9999,220, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730731,0, , ,I,9999,-9999, , , ,9999,240, , ,I,9999,120, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730801,-9999, , , ,9999,-9999, , , ,9999,230, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730802,-9999, , , ,9999,-9999, , , ,9999,240, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730805,30, , ,I,9999,-9999, , , ,9999,-9999, , , ,9999,130, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730806,170, , ,I,9999,-9999, , , ,9999,240, , ,I,9999,130, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730814,231, , ,I,9999,-9999, , , ,9999,230, , ,I,9999,130, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730816,3, , ,I,9999,-9999, , , ,9999,240, , ,I,9999,140, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730820,-9999, , , ,9999,-9999, , , ,9999,240, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730821,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,100, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730822,180, , ,I,9999,-9999, , , ,9999,240, , ,I,9999,110, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730823,0, , ,I,9999,-9999, , , ,9999,240, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730824,-9999, , , ,9999,-9999, , , ,9999,220, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730825,231, , ,I,9999,-9999, , , ,9999,220, , ,I,9999,120, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730826,-9999, , , ,9999,-9999, , , ,9999,250, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,19730829,0, , ,I,9999,-9999, , , ,9999,240, , ,I,9999,100, , ,I,9999
