STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570102,-9999, , , ,9999,-9999, , , ,9999,250, , ,I,9999,150, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570103,-9999, , , ,9999,-9999, , , ,9999,239, , ,I,9999,150, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570104,-9999, , , ,9999,-9999, , , ,9999,217, , ,I,9999,-9999, , , ,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570105,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,139, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570106,-9999, , , ,9999,-9999, , , ,9999,244, , ,I,9999,144, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570107,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,150, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570108,-9999, , , ,9999,-9999, , , ,9999,244, , ,I,9999,-9999, , , ,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570110,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,106, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570111,-9999, , , ,9999,-9999, , , ,9999,267, , ,I,9999,-9999, , , ,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570112,-9999, , , ,9999,-9999, , , ,9999,267, , ,I,9999,117, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570113,-9999, , , ,9999,-9999, , , ,9999,267, , ,I,9999,117, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570116,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,117, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570118,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,111, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570119,-9999, , , ,9999,-9999, , , ,9999,283, , ,I,9999,144, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570121,-9999, , , ,9999,-9999, , , ,9999,289, , ,I,9999,139, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570123,-9999, , , ,9999,-9999, , , ,9999,306, , ,I,9999,144, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570124,-9999, , , ,9999,-9999, , , ,9999,289, , ,I,9999,156, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570125,-9999, , , ,9999,-9999, , , ,9999,256, , ,I,9999,156, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570126,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,156, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570127,-9999, , , ,9999,-9999, , , ,9999,233, , ,I,9999,-9999, , , ,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570128,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,133, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570129,-9999, , , ,9999,-9999, , , ,9999,256, , ,I,9999,150, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570131,-9999, , , ,9999,-9999, , , ,9999,244, , ,I,9999,150, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570201,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,150, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570202,-9999, , , ,9999,-9999, , , ,9999,256, , ,I,9999,-9999, , , ,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570203,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,139, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570204,-9999, , , ,9999,-9999, , , ,9999,261, , ,I,9999,139, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570205,-9999, , , ,9999,-9999, , , ,9999,239, , ,I,9999,-9999, , , ,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570208,-9999, , , ,9999,-9999, , , ,9999,239, , ,I,9999,128, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570209,-9999, , , ,9999,-9999, , , ,9999,239, , ,I,9999,128, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570211,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,128, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570212,-9999, , , ,9999,-9999, , , ,9999,267, , ,I,9999,-9999, , , ,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570213,-9999, , , ,9999,-9999, , , ,9999,256, , ,I,9999,-9999, , , ,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570214,-9999, , , ,9999,-9999, , , ,9999,250, , ,I,9999,-9999, , , ,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570216,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,100, , ,I,9999
GHCND:KE000063740,JOMO KENYATTA INTERNATIONAL KE,1624,-1.317,36.917,19570217,-9999, , , ,9999,-9999, , , ,9999,272, , ,I,9999,117, , ,I,9999
