STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530101,4, , ,Q,9999,250, , ,Q,9999,130, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530102,0, , ,Q,9999,248, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530103,0, , ,Q,9999,240, , ,Q,9999,120, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530104,0, , ,Q,9999,248, , ,Q,9999,129, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530105,0, , ,Q,9999,260, , ,Q,9999,126, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530106,0, , ,Q,9999,260, , ,Q,9999,148, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530107,0, , ,Q,9999,252, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530108,0, , ,Q,9999,260, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530109,0, , ,Q,9999,270, , ,Q,9999,139, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530110,0, , ,Q,9999,270, , ,Q,9999,139, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530111,0, , ,Q,9999,264, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530112,0, , ,Q,9999,264, , ,Q,9999,148, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530113,0, , ,Q,9999,253, , ,Q,9999,146, , ,Q,9999
GHCND:ET000063403,GORE ET,2002,8.15,35.533,19530114,0, , ,Q,9999,254, , ,Q,9999,119, , ,Q,9999
