STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580101,0, , ,S,9999,-9999, , , ,9999,239, , ,S,9999,50, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580103,0, , ,S,9999,-9999, , , ,9999,261, , ,S,9999,50, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580104,0, , ,S,9999,-9999, , , ,9999,250, , ,S,9999,61, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580105,0, , ,S,9999,-9999, , , ,9999,250, , ,S,9999,50, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580106,0, , ,S,9999,-9999, , , ,9999,250, , ,S,9999,50, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580107,0, , ,S,9999,-9999, , , ,9999,239, , ,S,9999,61, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580108,0, , ,S,9999,-9999, , , ,9999,250, , ,S,9999,61, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580109,0, , ,S,9999,-9999, , , ,9999,228, , ,S,9999,78, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580110,0, , ,S,9999,-9999, , , ,9999,222, , ,S,9999,89, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580111,0, , ,S,9999,-9999, , , ,9999,222, , ,S,9999,111, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580112,20, , ,S,9999,-9999, , , ,9999,211, , ,S,9999,111, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580113,0, , ,S,9999,-9999, , , ,9999,211, , ,S,9999,89, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580114,0, , ,S,9999,-9999, , , ,9999,250, , ,S,9999,61, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580115,0, , ,S,9999,-9999, , , ,9999,239, , ,S,9999,61, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580116,0, , ,S,9999,-9999, , , ,9999,272, , ,S,9999,72, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580117,0, , ,S,9999,-9999, , , ,9999,261, , ,S,9999,61, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580118,71, , ,S,9999,-9999, , , ,9999,239, , ,S,9999,122, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580119,361, , ,S,9999,-9999, , , ,9999,228, , ,S,9999,100, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580120,0, , ,S,9999,-9999, , , ,9999,239, , ,S,9999,111, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580121,61, , ,S,9999,-9999, , , ,9999,261, , ,S,9999,122, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580122,0, , ,S,9999,-9999, , , ,9999,250, , ,S,9999,78, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580123,0, , ,S,9999,-9999, , , ,9999,239, , ,S,9999,100, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580124,0, , ,S,9999,-9999, , , ,9999,222, , ,S,9999,128, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580125,61, , ,S,9999,-9999, , , ,9999,211, , ,S,9999,111, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580126,0, , ,S,9999,-9999, , , ,9999,250, , ,S,9999,111, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580127,51, , ,S,9999,-9999, , , ,9999,211, , ,S,9999,122, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580128,170, , ,S,9999,-9999, , , ,9999,211, , ,S,9999,111, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580129,0, , ,S,9999,-9999, , , ,9999,222, , ,S,9999,89, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580130,150, , ,S,9999,-9999, , , ,9999,228, , ,S,9999,111, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580131,0, , ,S,9999,-9999, , , ,9999,239, , ,S,9999,100, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580201,0, , ,S,9999,-9999, , , ,9999,228, , ,S,9999,100, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580202,0, , ,S,9999,-9999, , , ,9999,228, , ,S,9999,89, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580203,0, , ,S,9999,-9999, , , ,9999,250, , ,S,9999,72, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580204,0, , ,S,9999,-9999, , , ,9999,250, , ,S,9999,78, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580205,0, , ,S,9999,-9999, , , ,9999,222, , ,S,9999,111, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580206,0, , ,S,9999,-9999, , , ,9999,222, , ,S,9999,128, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580207,-9999, , , ,9999,-9999, , , ,9999,200, , ,S,9999,128, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580208,0, , ,S,9999,-9999, , , ,9999,189, , ,S,9999,122, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580209,71, , ,S,9999,-9999, , , ,9999,222, , ,S,9999,111, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580210,61, , ,S,9999,-9999, , , ,9999,200, , ,S,9999,111, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580211,0, , ,S,9999,-9999, , , ,9999,239, , ,S,9999,111, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580212,0, , ,S,9999,-9999, , , ,9999,239, , ,S,9999,100, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580213,0, , ,S,9999,-9999, , , ,9999,239, , ,S,9999,89, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580216,61, , ,S,9999,-9999, , , ,9999,178, , ,S,9999,122, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580217,79, , ,S,9999,-9999, , , ,9999,222, , ,S,9999,122, , ,S,9999
GHCND:ET000063450,ADDIS ABABA BOLE ET,2354,9.033,38.75,19580218,0, , ,S,9999,-9999, , , ,9999,228, , ,S,9999,89, , ,S,9999
