STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530101,0, , ,Q,9999,299, , ,Q,9999,142, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530102,0, , ,Q,9999,290, , ,Q,9999,163, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530103,0, , ,Q,9999,293, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530104,0, , ,Q,9999,284, , ,Q,9999,175, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530105,0, , ,Q,9999,276, , ,Q,9999,141, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530106,0, , ,Q,9999,277, , ,Q,9999,148, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530107,0, , ,Q,9999,274, , ,Q,9999,132, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530108,0, , ,Q,9999,283, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530109,0, , ,Q,9999,289, , ,Q,9999,135, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530110,0, , ,Q,9999,294, , ,Q,9999,138, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530111,0, , ,Q,9999,290, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530112,0, , ,Q,9999,293, , ,Q,9999,160, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530113,0, , ,Q,9999,290, , ,Q,9999,152, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530114,0, , ,Q,9999,300, , ,Q,9999,156, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530115,0, , ,Q,9999,303, , ,Q,9999,152, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530116,0, , ,Q,9999,302, , ,Q,9999,157, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530117,0, , ,Q,9999,295, , ,Q,9999,133, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530118,0, , ,Q,9999,290, , ,Q,9999,165, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530119,0, , ,Q,9999,311, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530120,0, , ,Q,9999,322, , ,Q,9999,202, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530121,0, , ,Q,9999,305, , ,Q,9999,162, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530122,0, , ,Q,9999,311, , ,Q,9999,190, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530123,0, , ,Q,9999,310, , ,Q,9999,152, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530124,0, , ,Q,9999,306, , ,Q,9999,185, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530125,0, , ,Q,9999,290, , ,Q,9999,163, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530126,0, , ,Q,9999,292, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530127,0, , ,Q,9999,293, , ,Q,9999,141, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530128,0, , ,Q,9999,285, , ,Q,9999,130, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530129,0, , ,Q,9999,290, , ,Q,9999,116, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530130,0, , ,Q,9999,307, , ,Q,9999,121, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530131,0, , ,Q,9999,309, , ,Q,9999,130, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530201,0, , ,Q,9999,325, , ,Q,9999,152, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530202,0, , ,Q,9999,309, , ,Q,9999,160, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530203,0, , ,Q,9999,306, , ,Q,9999,146, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530204,0, , ,Q,9999,316, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530205,0, , ,Q,9999,312, , ,Q,9999,141, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530206,0, , ,Q,9999,305, , ,Q,9999,160, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530207,0, , ,Q,9999,305, , ,Q,9999,165, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530208,0, , ,Q,9999,312, , ,Q,9999,156, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530209,0, , ,Q,9999,320, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530210,0, , ,Q,9999,342, , ,Q,9999,159, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530211,15, , ,Q,9999,324, , ,Q,9999,195, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530212,0, , ,Q,9999,299, , ,Q,9999,182, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530213,15, , ,Q,9999,323, , ,Q,9999,169, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530214,0, , ,Q,9999,322, , ,Q,9999,186, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530215,0, , ,Q,9999,315, , ,Q,9999,167, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530216,0, , ,Q,9999,295, , ,Q,9999,151, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530217,0, , ,Q,9999,290, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530218,0, , ,Q,9999,296, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530219,0, , ,Q,9999,304, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530220,0, , ,Q,9999,315, , ,Q,9999,146, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530221,0, , ,Q,9999,320, , ,Q,9999,178, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530222,0, , ,Q,9999,298, , ,Q,9999,195, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530223,0, , ,Q,9999,298, , ,Q,9999,188, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530224,0, , ,Q,9999,326, , ,Q,9999,186, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530225,2, , ,Q,9999,293, , ,Q,9999,174, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530226,0, , ,Q,9999,313, , ,Q,9999,171, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530227,0, , ,Q,9999,268, , ,Q,9999,179, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530228,12, , ,Q,9999,311, , ,Q,9999,166, , ,Q,9999
GHCND:ET000063471,DIREDAWA ET,1260,9.6,41.85,19530301,3, , ,Q,9999,322, , ,Q,9999,160, , ,Q,9999
