STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520101,81, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520102,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520103,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520104,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520105,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520106,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520107,31, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520108,15, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520109,18, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520110,460, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520111,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520112,74, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520113,13, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:TZ000063832,TABORA AIRPORT TZ,1182,-5.083,32.833,19520114,3, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
