STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530208,-9999, , , ,9999,-9999, , , ,9999,325, , ,Q,9999,0, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530209,-9999, , , ,9999,-9999, , , ,9999,344, , ,Q,9999,12, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530210,-9999, , , ,9999,-9999, , , ,9999,330, , ,Q,9999,10, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530211,-9999, , , ,9999,-9999, , , ,9999,320, , ,Q,9999,4, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530212,-9999, , , ,9999,-9999, , , ,9999,302, , ,Q,9999,30, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530501,415, , ,Q,9999,-9999, , , ,9999,225, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530502,0, , ,Q,9999,-9999, , , ,9999,270, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530503,0, , ,Q,9999,-9999, , , ,9999,282, , ,Q,9999,126, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530504,0, , ,Q,9999,-9999, , , ,9999,287, , ,Q,9999,112, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530505,35, , ,Q,9999,-9999, , , ,9999,272, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530506,0, , ,Q,9999,-9999, , , ,9999,288, , ,Q,9999,132, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530507,0, , ,Q,9999,-9999, , , ,9999,287, , ,Q,9999,100, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530508,0, , ,Q,9999,-9999, , , ,9999,290, , ,Q,9999,90, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530509,0, , ,Q,9999,-9999, , , ,9999,288, , ,Q,9999,95, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530510,0, , ,Q,9999,-9999, , , ,9999,290, , ,Q,9999,95, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530511,0, , ,Q,9999,-9999, , , ,9999,292, , ,Q,9999,82, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530512,0, , ,Q,9999,-9999, , , ,9999,292, , ,Q,9999,72, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530513,0, , ,Q,9999,-9999, , , ,9999,294, , ,Q,9999,82, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530514,5, , ,Q,9999,-9999, , , ,9999,270, , ,Q,9999,100, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530515,15, , ,Q,9999,-9999, , , ,9999,265, , ,Q,9999,136, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530516,0, , ,Q,9999,-9999, , , ,9999,275, , ,Q,9999,116, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530517,275, , ,Q,9999,-9999, , , ,9999,260, , ,Q,9999,136, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530518,0, , ,Q,9999,-9999, , , ,9999,280, , ,Q,9999,132, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530519,80, , ,Q,9999,-9999, , , ,9999,260, , ,Q,9999,165, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530520,12, , ,Q,9999,-9999, , , ,9999,270, , ,Q,9999,130, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530521,0, , ,Q,9999,-9999, , , ,9999,280, , ,Q,9999,122, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530522,0, , ,Q,9999,-9999, , , ,9999,275, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530523,0, , ,Q,9999,-9999, , , ,9999,285, , ,Q,9999,114, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530524,0, , ,Q,9999,-9999, , , ,9999,286, , ,Q,9999,106, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530525,0, , ,Q,9999,-9999, , , ,9999,292, , ,Q,9999,100, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530526,0, , ,Q,9999,-9999, , , ,9999,284, , ,Q,9999,120, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530527,0, , ,Q,9999,-9999, , , ,9999,287, , ,Q,9999,94, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530528,0, , ,Q,9999,-9999, , , ,9999,292, , ,Q,9999,92, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530529,0, , ,Q,9999,-9999, , , ,9999,283, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530530,0, , ,Q,9999,-9999, , , ,9999,288, , ,Q,9999,94, , ,Q,9999
